text,label
i didnt feel humiliated,sadness
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness
im grabbing a minute to post i feel greedy wrong,anger
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,love
i am feeling grouchy,anger
ive been feeling a little burdened lately wasnt sure why that was,sadness
i feel as confused about life as a teenager or as jaded as a year old man,fear
i feel romantic too,love
i feel like i have to make the suffering i m seeing mean something,sadness
i think it s the easiest time of year to feel dissatisfied,anger
i feel low energy i m just thirsty,sadness
i didnt really feel that embarrassed,sadness
i feel pretty pathetic most of the time,sadness
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness
i now feel compromised and skeptical of the value of every unit of work i put in,fear
i feel irritated and rejected without anyone doing anything or saying anything,anger
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear
i already feel like i fucked up though because i dont usually eat at all in the morning,anger
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,sadness
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness
i become overwhelmed and feel defeated,sadness
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger
i remember feeling acutely distressed for a few days,fear
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,sadness
i was feeling listless from the need of new things something different,sadness
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,love
i stopped feeling cold and began feeling hot,anger
i found myself feeling a little discouraged that morning,sadness
i feel selfish and spoiled,anger
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,fear
i feel you know basically like a fake in the realm of science fiction,sadness
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness
